,choose_one,text_no_rt,user
250,Personal only,@VLOXY tornado!! you might have to run to the land of earthquake. welcome!, 
251,Informative (Direct),Just got the Tornado Watch for Leavenworth County KS. #ksstorms, 
252,Informative (Direct or Indirect),tornado warnings for denton county & ne tarrant county.. Not playing out there., 
253,Informative (Indirect),Tornado watch for western MO until 3 AM. Includes Kansas City Sedalia Nevada Springfield Branson and Joplin!! Heed the warnings tonight!, 
254,Informative (Indirect),Piedmont Tornado!  http://twitpic.com/5247eo, 
255,Informative (Direct or Indirect),HUGE HAIL threat in Parker county TX #txwx, 
256,Informative (Indirect),"Tuesday at 9am Thom Hartmann discusses the tornado strikes in the Midwest on """"The Big Picture.""""", 
257,Personal only,AHCJ member @JoyRobertson is tweeting from #Joplin., 
258,Informative (Direct or Indirect),Moore spotters have been recalled no damage reported in Moore!  Moore EOC will be standing down shortly. #okwx, 
259,Informative (Direct or Indirect),SW MO Conservative Network tornado relief workday on Saturday May 28 in #Joplin Missouri. http://ow.ly/52g7P #tpp #teaparty #tornado #MO, 
260,Informative (Direct or Indirect),Tornado Warning for Howe Texas #berryweather http://tinyurl.com/3vsy3tn, 
261,Personal only,We are safe our home is safe. Friends family are safe. but so many others are not. Prayers for the victims of tornado's  ..., 
262,Informative (Indirect),If you live in PadenBoley and Castle please take your Tornado Precautions NOW please! Looks like there may be a... http://fb.me/VFbH5DKx, 
263,Informative (Direct or Indirect),Organizations people find ways to donate for tornado relief: DENVER - Several people and organizations have come together to help th..., 
264,Informative (Direct or Indirect),#Tornado reported in Springtown Texas. Very close to a direct hit of the city. No word on damage or injuries. #TXWX Follow 4 updates., 
265,Personal only,@WxChris2011 Profits superceed a Particularly Dangerous Situation... #tornado #txwx, 
266,Informative (Direct or Indirect),TOR Warning Denton County.  TAKE COVER NOW. #txwx, 
267,Informative (Direct or Indirect),A Tornado Warning has been issued for Tarrant & Dallas counties until 8:45pm., 
268,Informative (Indirect),@8Amber8 you ok? RT @wfaaweather: A Tornado Warning has been issued for Tarrant & Parker counties until 8:15pm., 
269,Informative (Direct or Indirect),@WxChris2011 21 is full coverage in DFW #txwx, 
270,Informative (Indirect),Dear Tornado Victims: According to @GOPLeader @EricCantor you're only as important as a corresponding offset. Isn't that s ..., 
271,Informative (Indirect),TWC reporting tornado warnings for Dallas Fort Worth area in Texas. Listen to local reports take cover be alert!, 
272,Informative (Indirect),BREAKING:  Nat'l Weather Service upgrades Tornado that hit Joplin MO to highest-rated EF5 with winds greater than 200 mp ..., 
273,Informative (Indirect),Tornado destroys north Piedmont: http://bit.ly/kcgKHi, 
274,Informative (Direct),I love tornado season. It's so beautiful!  http://lockerz.com/s/104526272, 
275,Personal only,#ASKTAYLOR we need you in joplin missouri bring hope to the city after the devastating tornado. will you please come?25256324, 
276,Informative (Direct or Indirect),Not just one #tornado but many in Oklahoma! Came out of the shelter to bright Sun shine! Thankful for some great weather folks!, 
277,Informative (Direct or Indirect),Tishomingo Ravia Milburn areas take Tornado Precautions., 
278,Informative (Direct),Amazing pic! RT @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/ ..., 
279,Personal only,Overwhelmed with stories of families still searching for family members in #JOPLIN. 1500 still missing from Tornado.  ..., 
280,Personal only,@michaelsjourney GREAT WORK the last two days Michael!  #RedCross #JoplinTornado #APAT #makingadifference, 
281,Informative (Direct or Indirect),Tornado threat spreading into North Texas. Cooke Wise and Parker Counties under Tornado Warnings currently, 
282,Informative (Direct),Tornado in El Reno Ok minutes ago: http://www.youtube.com/watch?v=roX4msxfs_w&feature=youtube_gdata_player, 
283,Informative (Direct or Indirect),CPR for children same for adult but third depth of chest for compression one hand for small child  #1stAid4 #okwx  ..., 
284,Informative (Direct),Tornado ON THE GROUND with debris near Azle. @wfaaweather @wfaaweathertoo, 
285,Informative (Indirect),Joplin Tornado Now Highest-Rated EF5 http://bit.ly/iFWTir, 
286,Personal only,@simply_devyne @Platinum421 @AJayHECH @NCToyotaSRC #kevinhartquotes A Pray For All the Tornado Victims Today! Xoxota Louca, 
287,Personal only,My 1000th tweet is dedicated to those in Joplin. God bless you all. We are praying for you and will continue to find ..., 
288,Personal only,&& I'm home ALL ALONE :( && we not even finna get hot by this tornado  but I'm texting him : /, 
289,Personal only,please pray for the tornado victims.. PLEASE.., 
290,Other,Minstens vier doden bij tornado Oklahoma City: Een tornado die gisteren in de avondspits door het Amerikaanse Ok... http://bit.ly/jZF627, 
291,Informative (Indirect),The Tornado Epidemic Of April 2011 [VIDEO] http://ow.ly/1tasM3, 
292,Personal only,Yep one more reason to leave Texas for SoCal. Constant tornado warnings and crazy extreme weather., 
293,Personal only,I'm so oblivious. How do I know if a tornado is close?, 
294,Informative (Direct or Indirect),Ghoshen/Springtown in Parker county TAKE TORNADO PRECAUTIONS, 
295,Informative (Direct),Wooden cross only thing left standing after tornado at St. Mary's church in Joplin MO. #endofdays #comingsoon, 
296,Informative (Direct or Indirect),#Tornado outbreak beginning in North Texas. #txwx, 
297,Personal only,Our thoughts are with those in #Oklahoma and #Joplin., 
298,Personal only,Noooooo! No tornado in Dallas!, 
299,Other,Desastres ambientais em curso no mundo : vulcÃƒÂŒÃ‚Â£o ativo (IslÃƒÂŒÃ‚Â¢ndia) tornado desvastador (EUA) CÃƒÂŒ_digo Florestal (Brasil), 
300,Personal only,please pray for the tornado victims.. PLEASE.., 
301,Informative (Direct or Indirect),There are 8 tornado-producing storms in central and northern #Oklahoma right now. Oy., 
302,Other,Tornado victims didn t know if we were going to live: He came back on Tuesday to take a pictu... http://bit.ly/m1EXUy rooftoproofing.com, 
303,Informative (Direct or Indirect),Great!RT @wunderground: Sign up for weather alerts -- we will DM you when there are warnings for your city : http://wxug.us/ah9k #tornado, 
304,Informative (Direct or Indirect),Entire KC metro area is under a tornado watch until 11 PM.  Updates as needed, 
305,Informative (Direct or Indirect),#TORNADO WARNING FOR SOUTHWESTERN ATOKA COUNTY IN SOUTHEAST OKLAHOMA NORTHWESTERN BRYAN COUNTY IN SOUTHEAST... http://fb.me/NsA59Ola, 
306,Informative (Direct or Indirect),Ghoshen/Springtown in Parker county TAKE TORNADO PRECAUTIONS #txwx, 
307,Informative (Direct or Indirect),Dang there was juss uh tornado in missouri now theres one in oklahoma.? End of the world type shit, 
308,Informative (Direct or Indirect),#Prayers RT @TeriChristoph: These stories of #Joplin parents searching for their children are absolutely heart-wrenching. Prayers., 
309,Personal only,@justinbieber some of my family lost almost everything in the tornado in Joplin Missouri...#JBneedstohaveabenefitconcertforJoplinMO, 
310,Informative (Direct or Indirect),Tornado WARNING also includes Wise and Denton counties. Supercell has split., 
311,Informative (Direct or Indirect),Death toll in #Joplin #tornado is 124 1500 people still unaccounted for., 
312,Other,please pray for the tornado victims.. PLEASE.., 
313,Informative (Direct or Indirect),Wow RT @CNN: Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am, 
314,Informative (Indirect),Conditions conducive to tornado activity is concentrating east of I-35 along I-40 in Oklahoma with golf-ball sized hail accding to KFOR. #OK, 
315,Informative (Indirect),Our hearts are w/ victims of #Joplin tragedy. House #GOP ready to help & has found offsets &lt; Self-servi ..., 
316,Informative (Direct or Indirect),A lot of class shown by the Orioles tonight with a moment of silence and flags at half staff to honor victims of #Joplin tragedy., 
317,Informative (Direct or Indirect),#Tornado outbreak beginning in North Texas. #txwx, 
318,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
319,Informative (Direct or Indirect),Tornado Watch for Joplin until 3am. Geez., 
320,Informative (Indirect),NOAA says the #Joplin tornado was an EF-5 the 8th deadliest tornado on record., 
321,Informative (Indirect),NOAA says the #Joplin tornado was an EF-5 the 8th deadliest tornado on record., 
322,Informative (Direct or Indirect),Holy shit Cholera outbreak in the Dominican Republic tragic tornado in Missouri! Peace be with you people! #raptureafterall?, 
323,Personal only,These stories of #Joplin parents searching for their children are absolutely heart-wrenching. Prayers., 
324,Personal only,Tornado coverage is too depressing #NW NBA game. C'mon Bulls., 
325,Informative (Direct),@OnTheJumbotron @Orioles had a moment of silence before the game tonight  for Missourians affected by tornado.  A lot of respect for them!, 
326,Informative (Direct),Tornado warning during practice. Anhui yeah., 
327,Informative (Direct),THE TORNADO SIRENS ARE GOING OFF AND MY BROTHER WON'T COME DOWNSTAIRS AND TAKE COVER, 
328,Informative (Indirect),NWS DETECTED A DEVELOPING TORNADO 7 MILES NORTHEAST OF MINERAL WELLS STATE PARK... MOVING EAST AT 40 MPH, 
329,Informative (Direct),Possible debris ball on radar near Little #Oklahoma. This cell looks very dangerous. Okemah OK seek ..., 
330,Informative (Indirect),Confirmed: Joplin tornado now upgraded to an EF5 by Natl Wx Service., 
331,Informative (Direct or Indirect),Tornado reported in Springtown, 
332,Informative (Direct or Indirect),Tornado watches now cover ALL of northeast Kansas including Douglas County.  #ksstorms, 
333,Informative (Direct or Indirect),Tornado watches now cover ALL of northeast Kansas including Douglas County.  #ksstorms, 
334,Informative (Direct or Indirect),Tornado watches now cover ALL of northeast Kansas including Douglas County.  #ksstorms, 
335,Informative (Direct or Indirect),tornado warning! :|  Please stay safe my friends &lt;333, 
336,Informative (Direct or Indirect),Tornado WATCH issued for #joplin till 3am. Difficult times in southwest Missouri., 
337,Informative (Direct or Indirect),There's reports of a tornado on the ground 2 miles west of Azle.  Rshaede, 
338,Personal only,our backyard after the tornado http://twitpic.com/5242fo, 
339,Informative (Direct or Indirect),@mesapate:  Looking to help those in #Joplin? Visit www.cjbands.org for a list & where to send supplies. Please RT., 
340,Informative (Direct),TORNADO WARNING [ Osage OK ][ Washington OK ] Expires: Tue May 24 21:00 EDT #SVRAlert, 
341,Informative (Direct or Indirect),Tornado on the ground near Springtown, 
342,Informative (Direct or Indirect),RT@txstormchasers #Tornado outbreak beginning in North Texas. #txwx, 
343,Personal only,@kfor You should open up your Facebook wall so people can post photos tornado reports, 
344,Personal only,please pray for the tornado victims.. PLEASE.., 
345,Informative (Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
346,Informative (Direct or Indirect),Just In: Joplin Missouri tornado death toll now at 122; was an EF-5 storm with top winds of more than 200 mph., 
347,Informative (Direct or Indirect),45000 without power in OK. #okwx, 
348,Informative (Direct or Indirect),Triage is the prioritising or sorting of casualties and the aim is the salvage of life over limb  #1stAid4 #okwx #Joplin, 
349,Informative (Direct),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
350,Informative (Direct or Indirect),Heads up Fort Worth TX. #txwx, 
351,Informative (Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
352,Informative (Direct or Indirect),@mitchelmusso Careful! Its tornado watch here in oklahoma so it might move down to texas. Be careful!&lt;3, 
353,Informative (Direct or Indirect),Tornado Warning for Atoka Bryan and Johnston County in OK until 8:45pm CDT. #okwx, 
354,Other,-- Temporary order will ensure continuity of medical care for victims whose records were lost or destroyed in tornado #Joplin #MO #medical, 
355,Informative (Indirect),Tornado Warning until 08:30 PM CDT issued for Ellsworth & Lincoln Counties http://bit.ly/btQnZB, 
356,Informative (Direct or Indirect),The Joplin tornado has now been rated an EF-5 with winds over 200 mph., 
357,Informative (Direct or Indirect),Tornado reported in Denton County Texas near I-35 W and FM 407., 
358,Other,"Guy just asked if Brees would agree to boxing match w/Peyton Manning to raise $ for tornado relief. Brees: ""There's gott ...", 
359,Informative (Indirect),RT @AP: BREAKING: Authorities say death toll from Joplin Mo. tornado now at 122; more than 750 people injured. // praying for these folks, 
