,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event,tweet_no_rt,user
740,,Officials report a 2nd death in one of Staten Island's Hurricane Sandy evacuation zones | http://t.co/EWziSgaG http://t.co/tujdx0WK,kcoppeto
741,,How to contribute to #Sandy relief efforts http://t.co/pGukaVBD,HuffPostSmBiz
742,,sandy storm em nyc sand storm no site do itau? santa tempestade de areia batman http://t.co/Jbd20kTy,renedepaula
743,,Lord we pray for every person who lives in the east coast who are the path of Hurricane Sandy. Keep them safe Father God.,FireNena
744,,#News Sandy floods NYC subways http://t.co/ZMeQfUc8 #CNN,kamaluf
745,,People and their stupid rumors don't think people's lives can be at risk not funny when you're in #Sandy 's path.,SexyMexi523
746,,#Noticias Tormenta Sandy paraliza Nueva York http://t.co/pSGSYgLk,RadioBemba
747,,Si el huracÃ­Ã§n Sandy es asÃ­_ imagÃ­_nate el huracÃ­Ã§n Nadine. Seguro ese fue el que extinguiÃ­_ a los dinosaurios.,Tumbluroso
748,,the only people not taking Sandy seriously are the reporters standing in the middle of it... say whattt. the most reckless of them all CNN,abellebelle
749,,Lucky we're only getting a little bit of wind and rain at least compared to other areas. #Sandy,JohnnyMac440
750,,Lol #HurricaneSandy #flood http://t.co/yIiTNYLr,xmorganlynnx
751,,Sandy Bearing Down on East Coast. Destructive winds power outages flooding rainfall & dangerous storm surge expected http://t.co/etjGcRxd,BrentSmithFan_
752,,Oh wow some of the pictures of Hurricane Sandy look like it's really bad. I hope everyone stays safe Ã¤Â»Â«,juliekeays
753,,@zebrafinch @FARMERJEREMY @SeasLife So glad that everyone is ok and no worse for wear. What a blessing. Prayers to our NYC friends #sandy,OrganicNYmilk1
754,,OhmygodohmygodohmygodRT @NBCNews: Tunnel flooding from #Sandy may drive subway rats onto NYC streets http://t.co/qVJs5Ph7,nicoletrnka
755,,Thinking of everyone going through such a difficult time in NYC right now & hoping that @evansamek is safe & well #sandy,beindemand
756,,"+++ Newsticker zu """"Sandy"""" +++: Wall Street Ã­_ffnet Mittwoch wieder: Die SturmschÃ­_den werden noch Ã­_ber Tage den Al... http://t.co/zk07ldKd",ifbtut
757,True,NYers Will Get Through This by standing together as We Always Do. We will get the city we love back on its feet! \@MikeBloomberg #Sandy #NYC,MJSWoodward
758,,Per @AntDeRosa at the Mayor @mikebloomberg press event the Coney Island Hospital is being evacuated. #Sandy #NYC,bradenframe
759,,#MittRomney never said he was going to use the Red Cross to distribute the food! MSM is making fools of themselves. #typical #sandy,AmericaBeliever
760,,@Nada_Gabr heya el bet sandy 3amla eih ma3aky ?!!,osamaa_32
761,,US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/lY5ylcE5,Traveloinfo
762,,If sandy won't kill me bordum will,Bri_Deacs17
763,," El HuracÃ­Ã§n #Sandy arrastra dos tiburones hasta el Metro de Nueva York. #acojonante http://t.co/dX4cwPCyÃ¤Ã³Â olaaa??,MichelleGutiezD
45729,@NelsonRockBand you guys went west just in time! Safe travels- it was a pleasure! We're ok up here but NYC isn't doing well #YNNSandy #Sandy,@NelsonRockBand you guys went west just in time! Safe travels- it was a pleasure! We're ok up here but NYC isn't doing well #YNNSandy #Sandy,JoDeeKenney
3900,RT @NYCMayorsOffice: Updates and new info coming up in the Mayor's next briefing. It will start soon: http://t.co/1y3SaPsl #Sandy,Updates and new info coming up in the Mayor's next briefing. It will start soon: http://t.co/1y3SaPsl #Sandy,AllyofNewYork
32358,Join HopeMob's efforts to help the victims of #Sandy directly @ http://t.co/fC9j1Wh1 & RT this! #DT @hope,Join HopeMob's efforts to help the victims of #Sandy directly @ http://t.co/fC9j1Wh1 & RT this! #DT @hope,coreofhope
52070,@bieberarmy PLEASE help spread the word! My best friend lost her home due to sandy and our believe tickets for Sunday were in the house! 23,@bieberarmy PLEASE help spread the word! My best friend lost her home due to sandy and our believe tickets for Sunday were in the house! 23,FlawfreeBiebz
58495,RT @JerrySeinfeld: Anyone in NYC named 'Sandy' going to be getting dirty looks for a while. #callmeSanford,Anyone in NYC named 'Sandy' going to be getting dirty looks for a while. #callmeSanford,TimmyTheKid13
112,RT @MotionCityMusic: Tour update: our shows in Philly NYC DC Boston and Sayreville NJ are currently still scheduled. #sandy,Tour update: our shows in Philly NYC DC Boston and Sayreville NJ are currently still scheduled. #sandy,hypermuse_ic
51009,#sandy I'm watching you!! #nyc I luv you and everyone there #sending luv http://t.co/HGe53wTr,#sandy I'm watching you!! #nyc I luv you and everyone there #sending luv http://t.co/HGe53wTr,ElizabethSulcer
53336,' @photon4DEV After Sandy Ã¤Ã³Ã–We Are OKÃ¤Ã³Â» Is Top Facebook Status: As then-Hurricane Sandy made it's way up the Ea... http://t.co/yz9lOl7i,' @photon4DEV After Sandy Ã¤Ã³Ã–We Are OKÃ¤Ã³Â» Is Top Facebook Status: As then-Hurricane Sandy made it's way up the Ea... http://t.co/yz9lOl7i,DaaeChristina
13910,RT @SangyeH: Missing from every discussion about #FEMA: It gives poor people equal assistance. Privatization would only benefit those with money. #sandy,Missing from every discussion about #FEMA: It gives poor people equal assistance. Privatization would only benefit those with money. #sandy,bjdrues
36081,#taurus Help Me!!! http://t.co/1L7EwK6B,#taurus Help Me!!! http://t.co/1L7EwK6B,PaigePerry8
135910,RT @dhsgov: Conserve cell phone battery by reducing screen brightness & limiting voice calls. Get more tips at http://t.co/3QrwuuQk #Sandy,Conserve cell phone battery by reducing screen brightness & limiting voice calls. Get more tips at http://t.co/3QrwuuQk #Sandy,TheSecurityGirl
2767,Watch a Dramatic Helicopter Rescue of Sandy Victims http://t.co/VpMopo5E via @mashable,Watch a Dramatic Helicopter Rescue of Sandy Victims http://t.co/VpMopo5E via @mashable,PrestigeELE
122036,RT @BettyFckinWhite: Hurricane Sandy drinking game. You're in a fckin' hurricane! Drink. #sandy,Hurricane Sandy drinking game. You're in a fckin' hurricane! Drink. #sandy,ksully_13
132520,Orkaan Sandy is al bijna een week in het nieuws en toch gaan ze met een 3-mast zeilschip (bekend van Pirates of the Caribbean) de storm in!,Orkaan Sandy is al bijna een week in het nieuws en toch gaan ze met een 3-mast zeilschip (bekend van Pirates of the Caribbean) de storm in!,JoelRepko
136182,RT @NPRrussell: #Sandy picks up speed. The center of the storm aims at New Jersey. Winds still 90mph. Latest advisory: http://t.co/MLR55Dha,#Sandy picks up speed. The center of the storm aims at New Jersey. Winds still 90mph. Latest advisory: http://t.co/MLR55Dha,D_Lyons
102134,NYC ready for sandy? #gladimnotthere http://t.co/W9jmNlU2,NYC ready for sandy? #gladimnotthere http://t.co/W9jmNlU2,JPauL087
75775,RT @in_focus: Hurricane Sandy: After Landfall - 26 photos so far more to come - http://t.co/OCmk1o8p #Sandy,Hurricane Sandy: After Landfall - 26 photos so far more to come - http://t.co/OCmk1o8p #Sandy,Antonio_Felipe
97709,RT @RealMichelleT: Sandy vs. Lady Liberty RT: @kateesackhoff: Holy shit! http://t.co/LBLJlljD #HurricaneSandy #NYC""","Sandy vs. Lady Liberty RT: ""@kateesackhoff: Holy shit! http://t.co/LBLJlljD #HurricaneSandy #NYC"""
764,,Comentarios: HuracÃ­Ã§n Sandy Comando incendia hotel en Acapulco y Esther Orozco beneficiÃ­_ a empresas cuestionables y: http://t.co/8NXOUNty,YoSoy132SLP_
765,,#Sandy FUCK YOU.. #SmashSquad #SMashingJOE #SMashingStar #Preme #FreshE #WeGotThis #SSMG gon b workin heavy til we lose power!! #DEDICATION,SmashSquadMG
766,,Obama lands in Atlantic City New Jersey to observe #Sandy damage -ABC,larazalloum
767,True,The great escape from NYC http://t.co/bydsILH6 #sandy #nyc #newyork #hurricane /via @renovdiaries,cantjutgowithit
768,True,Hey CNN Guy get the fuck off the Dunes! We need those to protect the shoreline! #sandy,JTheRam
769,,#CNN say #sandy has landed at Atlantic City,neilredrup
770,,AlltsÃ­Â« det hÃ­_r med Sandy i new york Ã­_r fruktansvÃ­_rt alltsÃ­Â« herregud. TÃ­_nk o bo dÃ­_r?! :ooo,julialjungek
771,,What if gangam style was actually just a giant rain dance and we brought this hurricane on ourselves? #Sandy,foux_du_fafa
772,,Indeed.No taped windows? //Ã¤Ã³Ã¬@thetodayshow: Thanks to Aussies spoke to us this morning from NYC. Stay safe #sandy #frankenstormÃ¤Ã³Â,JaneofAustralia
773,,Due to continued impact of #Sandy #Picasso: A Conversation scheduled for Fri Nov 2 has been cancelled: http://t.co/jWsk6oys,FELDart
774,,Sarah Guthartz of Washington Heights surveyed the devastation from Sandy in Fort Tryon Park while walking her dog... http://t.co/5zJRmRY7,CHILLLOVERRADIO
775,,ÂŒÃ‹ESTÃ­Â LEO MESSI DETRÃ­ÂS DEL HURACÃ­ÂN SANDY? #SI O #CLAROQUEFINDECICLÃ­Ã±N ?,Jose_skywalker
776,,A #dog gets a blow dry as #sandy begins to weaken on the #East Coast Support relief efforts: http://t.co/zPLSLj9y #NYC http://t.co/P1MHdupi,Cholera
777,,Trading Oil in the Wake of Sandy http://t.co/YSuX8yqp via @YahooFinance,Jeff_Benjamin
778,,@AngelamChoi says: My friends and I are about to have a frankenstorm party part 2. #Sandy #nobig #NYC #rage,YoItsKristian
779,,Joe acabou de postar essa foto no instagram fazendo piada do furacÃ­Â£o Sandy que passarÃ­Ã§ por NYC dessa vez ele se superou!!!,Mel_hamilton14
780,,Best photo roundup I've seen of Sandy's effects from Big Picture: http://t.co/MDQs3VGN,amywilentz
781,,Karen covering Hurricane Sandy: http://t.co/mG0wC0v2,NickisGlitter
782,,5 Fake Hurricane Sandy Photos You're Sharing on Social Media http://t.co/ZeU6V2vv via @mashable,SorComReview
783,,With storm gusts expected to be up to 80-85mph the bridges in the NYC area are quickly becoming unsafe #Sandy,CaseyHamlin32
784,,That awkward moment when Mitt suggests getting rid of FEMA on TV and then Hurricane Sandy hits the East Coast right before the election.,moriokun
785,,http://t.co/5NePZAx8 Â™ÂÂ™_Â™Â‹Â™Âƒ Â™Â€Ã¸Â±Ã¸ÃˆÂ™ÂšÂ™ÃŠ Â™ÂšÂ™Â‹Ã¸_ Ã¸_Ã¸Ã¥Â™ÂƒÂ™Â‹ #kuwait #saudi #sandy #sex #ksa #egypt #bahrain http://t.co/yV4Wuc0S,m37961
786,,Hurricane Sandy propels emergency apps to top of App Store http://t.co/NSSQg0qk [post],TUAW
787,,@davidchoimusic I was wondering if there is a possibility of your concert in NY with Clara C being cancelled because of Hurricane Sandy?,WishfulFeelings
788,,Damages from Sandy may reach as much as 50 billion. Please support the hurricane relief by donating at http://t.co/bp4DZxyb #JerseyStrong,anipat17
789,,My next update on NYC's response to #Sandy will be at 5:30 pm (10/29). Watch live at http://t.co/pzWEzMcp,faithnautism_co
790,,FuracÃ­Â£o Sandy chegando no CanadÃ­Ã§adeus sucesso de Justin Bieber.,carlosilvachs
791,,Eric Draper photo of Gov loading up hurricane relief supplies to send to those affected by #Sandy http://t.co/5shbDiZa,grathanial
792,,Knicks-Nets game cancelled?? *shrugs* more important things to worry bout #SANDY,darealgambino
793,,RepÃ­_rter relata cenÃ­Ã§rio de #caos em #NY apÃ­_s passagem do #Sandy - http://t.co/CJeiTwIH,roscor15
794,,Power outage comparison: #Sandy: 7 million+; Irene: 6 million; Derecho: 4.2 million; Ike: 3.9 million; Katrina 2.7 million,Bassem_Sabry
795,,That heifer sandy not stopping me from getting this money,flyboi_rello
796,,It's not a game out here #Armageddonboots #sandy http://t.co/QchJx0eM,100_Pts
797,,(PHOTO) Taxis sit in flooded lot after Hurricane #Sandy in Hoboken New Jersey - UPDATES at http://t.co/RFbLL7kn http://t.co/MptAN9PE,paradkartushar
798,,Hurricane Sandy update: Center of storm is moving toward Cape May New Jersey - @NHC_Atlantic http://t.co/S4Otj1kk,FriendBurst
799,,Sandy: One57 Crane Collapse http://t.co/eSkrU1F3 #nyc #nativeicons #nyskyline,NewYorkNatives
800,True,Home Sweet Home which is still standing. Thoughts with those who were not as lucky. #sandy #nyc http://t.co/sh67xvyS,PEMSurface
801,,She might have competition with Sandy to see who can blow the most.,cmills88swag
802,,_Ã _ÂÃ£Ã«Ã£_-_Â»__Ã£Ã³___Âµ _ÂŸ_Â‡-_Â‡_Ã Ã£Â€Ã£Ã³_Ã___Ã___Ã #Sandy _Ã‹___Ã©____Ã£ÂÃ£Â‰Ã£Ã«Ã£_ _Â‡_ÃÃ£Â‰___Ã‹_Ã©_Âµ__Ã£Â† 7 _Ã©_ÂŸ___ÂŸ__ ___ÂµÃ£Â‰Ã£Ã³___Ã‹___Ã©_ÂŸÃ£Â‰_Âµ___Ã (_ÂŸ_Â‡ 26). #PrayForUSA http://t.co/YCvz0fUb,Carrort
803,,So Now Is Probably a Good Time to Talk About Climate Change... http://t.co/jCfTTabd via @GOOD #sandy #frankenstorm,jsmcdougall
804,,Problems w generators-hoping no traffic issues! RT @NYTMetro Bellevue Hospital in NYC now evacuating about 500 patients http://t.co/poQeFMdX,SugarcubeDog
805,,@_JillBlack I would love to play but sandy says otherwise,brookebenner7
806,,If you're in NYC and need post #Sandy non-emergency assistance call us at 646-820-ICNA (4262) and we'll try to address your needs,OmarRang
807,,.@musicforrelief is raising funds for the Hurricane #Sandy recovery effort. Donations can be made here: http://t.co/Bgc3Kixb,Mohamed_Abbou
808,,Metro: Rail bus service will not resume Tuesday morning. MetroAccess will be suspended all Tuesday. #Sandy,RT_Thomson
809,,@UncleRUSH insults bloomberg re: homeless in #nyc during #sandy. where were you? in your mansion in la so stfu! http://t.co/NCELFgtB,imtoofancyblog
810,,For everyone in the middle of hurricane sandy hope you are all safe Ã¤Â»Â«,Shanelle_Nx
811,True,In pictures: After Storm Sandy: Residents begin to clear up the debris http://t.co/jvyRyHaz,visutgrc
812,,Google News: Obama declara 'zona de desastre' em Nova York e Nova Jersey por ... - Ã­_ltimo Segundo - iG http://t.co/p7YE4AAv,News_sVipCHAT
813,,okay sandy lets stop playing games give me my wifi back,emilyy_sabeann
814,,Can't sleep? Off work tomorrow? The Park Slope Armory shelter needs new volunteers at midnight & 8am. (15thSt btwn 7th & 8th Ave) #Sandy,itstwhite
815,,"Not just the US affected: Haiti's homeless earthquake victims say ""it is misery"" after #Sandy kills 52 http://t.co/e5lHEl0L",FourCM
816,,So sad that the West Village Halloween Parade is cancelled...but totally understand. #sandy #westvillagehalloweenparade #sadtimes,pookie77
817,True,GREENPEACE EXCLUSIVE DRAMATIC PHOTOS: Hurricane Sandy aftermath http://t.co/iOZrxM4x via @sharethis,mitchmerry
818,True,I would love to not die yet. Thanks Sandy.,PoisonIvyDee
819,,National Weather Service reporting 24-foot seas off of New Jersey ahead of Hurricane Sandy - @cnnbrk http://t.co/F5MpAOCi,eekitscharliexD
820,,#yougainpoints lol... this had been a great treat! http://t.co/704uboo2,DollySchultz7
821,,RT: Ã¤Ã³Ã¬@Mike_FTW: Heckuva job Brownie. http://t.co/KkSdRvVgÃ¤Ã³Â #fb,bradenking
822,,Instagram photos show Superstorm Sandy's drenching path of damage - http://t.co/g9iOThpv http://t.co/xCUqH6HP,EXmemory
823,,No candy for y'all asses! #Sandy,BGC7JudiCreole
824,,#obama Having a laugh my own butt off http://t.co/XAwNeEgn,AmySnyd17377350
825,,#Dominoes #Romo #Hurricane #Sandy http://t.co/hvhBBMqG,Edwiiin26
826,,Why aren't the avengers saving NYC from sandy?,andrew_pate
827,,So many people are taking hurricane sandy as a joke on Twitter turn on the news and realize it's not idiots.. People dying isn't a joke.,Miyahhhhhh__
828,,President Obama is a great President and he is moving swiftly to make sure people get the help they need #Sandy,YoItsQuis
829,,"Ã¤Ã¬Â© ""The bliss of normality if only for a few hours."" #sandy #glamorous @zeldman .com http://t.co/ShyxV8HP",pocketlim
830,,Desolate / Windy / Wet - #SouthBronx during #Hurricane #Sandy. #NYC @ NYPD - 41st Precinct http://t.co/FSb7DCEX,LorenzoDSantos
831,,Some of the damages from #hurricane #sandy these dont even scratch the service of the damage caused. http://t.co/xYQcglVo,markslurpee
832,,New York City Marathon threatened by aftermath of super storm Sandy http://t.co/v72BS8Fc,a7mad3lii
833,,#nyc Basically f'n crazy http://t.co/7hUB8rDX,EulaBrooks13
834,,Lebron's hairline was blown back even more by #Sandy,omarhdz6
835,,Hurricane sandy actually hit many more countries before the USA thoughts go out to those in the Caribbean that have been affected too!,Fashionnerd21
836,,Gurdwaras turned into shelter homes in Sandy-hit areas of United States - The Times of India on Mobile http://t.co/4fYeJ23x,LeicsSikhAllian
837,,#sandy #perfectstorm #frankenstorm #nyc #storm #hurricanesandy #hurricanes #eastcoast #gqe #newyorkcity #wea http://t.co/hDeGYaAv,GQent
838,,"#Sandy is breaking flood records threatening NYC's subway system. Can we afford to elect a man who believes disaster relief is ""immoral""?",Jesssdfisher
839,,Austin Disaster Relief Network Knows It'll be Long Road After Hurricane Sandy - YouTube http://t.co/Jt8XgnoL,ReedStockman
840,,"#Romney #OBAMA2012 BREAKING: Romney calls on Honey Boo Boo to donate her ""go go"" juice instead of money for #Sandy relief.",TRUTHvsGOP
841,,Hey @MikeBloomberg how many guns do you have protecting you and your family while the powers out? #sandy #NYC #guncontrol,linoge_wotc
842,,SÃ­_ eu estou muito confuso? http://t.co/3x93n7jC Abs FuracÃ­Â£o Sandy,gabiiol
843,,Continue to be safe during #sandy and check in on those near you. #neighborlylove #community,LeatriceEiseman
